Position Number, FEN, Variance, Standard Deviation, MAD, IQR
58, 6k1/pp5p/3p2p1/3P1b2/3r1b2/1R5P/P3NPB1/2r1B1K1 w - - 0 30, 274, 98.82995497317603, 108.0, 130.0
59, 6k1/pp5p/3p2p1/3P1b2/3N1b2/1R5P/P4PB1/2r1B1K1 b - - 0 30, 446, 162.11798172935661, 11.0, 20.0
60, 6k1/pp5p/3p2p1/3P1b2/3N1b2/1R5P/P4PB1/4r1K1 w - - 0 31, 0, 0.0, 0.0, 0.0
61, 6k1/pp5p/3p2p1/3P1b2/3N1b2/1R5P/P4P2/4rBK1 b - - 1 31, 317, 130.16696969661697, 77.0, 245.0
62, 6k1/pp5p/3p2p1/3P4/3Nbb2/1R5P/P4P2/4rBK1 w - - 2 32, 66, 23.16031087874254, 15.0, 29.0
63, 6k1/pp5p/3p2p1/3P4/4bb2/1R5P/P3NP2/4rBK1 b - - 3 32, 219, 74.05673500769528, 49.0, 74.0
64, 6k1/pp5p/3p2p1/3Pb3/4b3/1R5P/P3NP2/4rBK1 w - - 4 33, 160, 61.11431910771812, 5.0, 53.0
65, 6k1/pp5p/3p2p1/3Pb3/4bP2/1R5P/P3N3/4rBK1 b - f3 0 33, 282, 109.79690341717293, 76.0, 184.0
66, 6k1/pp5p/3p1bp1/3P4/4bP2/1R5P/P3N3/4rBK1 w - - 1 34, 86, 30.33545780106178, 13.0, 17.0
67, 6k1/pR5p/3p1bp1/3P4/4bP2/7P/P3N3/4rBK1 b - - 0 34, 84, 28.9039789648415, 18.0, 18.0
68, 6k1/pR5p/3p1bp1/3b4/5P2/7P/P3N3/4rBK1 w - - 0 35, 79, 25.887448696231154, 7.0, 7.0
69, 6k1/p1R4p/3p1bp1/3b4/5P2/7P/P3N3/4rBK1 b - - 1 35, 81, 30.78051331605761, 1.0, 1.0
70, 6k1/p1R4p/3p1bp1/8/5P2/7P/b3N3/4rBK1 w - - 0 36, 27, 10.49571341072154, 3.0, 15.0
71, 6k1/R6p/3p1bp1/8/5P2/7P/b3N3/4rBK1 b - - 0 36, 318, 104.5244469011915, 47.0, 80.0
