Processing window size 3...
Building nouns list from Inaugural corpus...
Word: sacrifice, Uniqueness Value: 23
Word: belief, Uniqueness Value: 23
Word: failure, Uniqueness Value: 23
Word: american, Uniqueness Value: 23
Word: currency, Uniqueness Value: 23
Word: , Uniqueness Value: 23
Word: voice, Uniqueness Value: 22
Word: health, Uniqueness Value: 22
Word: conflict, Uniqueness Value: 22
Word: return, Uniqueness Value: 22
Word: experiment, Uniqueness Value: 22
Word: benefits, Uniqueness Value: 22
Word: call, Uniqueness Value: 22
Word: struggle, Uniqueness Value: 22
Word: light, Uniqueness Value: 22
Word: wise, Uniqueness Value: 22
Word: forms, Uniqueness Value: 22
Word: wars, Uniqueness Value: 22
Word: matters, Uniqueness Value: 22
Word: path, Uniqueness Value: 22
Word: individual, Uniqueness Value: 22
Word: demands, Uniqueness Value: 22
Word: poverty, Uniqueness Value: 22
Word: rules, Uniqueness Value: 21
Word: crisis, Uniqueness Value: 21
Word: side, Uniqueness Value: 21
Word: value, Uniqueness Value: 21
Word: lands, Uniqueness Value: 21
Word: choice, Uniqueness Value: 21
Word: friendship, Uniqueness Value: 21
Word: difficulties, Uniqueness Value: 21
Word: encouragement, Uniqueness Value: 21
Word: concern, Uniqueness Value: 21
Word: direction, Uniqueness Value: 21
Word: increase, Uniqueness Value: 21
Word: manner, Uniqueness Value: 21
Word: class, Uniqueness Value: 21
Word: practice, Uniqueness Value: 21
Word: taxation, Uniqueness Value: 21
Word: values, Uniqueness Value: 21
Word: vice, Uniqueness Value: 21
Word: leadership, Uniqueness Value: 21
Word: era, Uniqueness Value: 21
Word: provision, Uniqueness Value: 20
Word: neighbors, Uniqueness Value: 20
Word: conviction, Uniqueness Value: 20
Word: chance, Uniqueness Value: 20
Word: energy, Uniqueness Value: 20
Word: person, Uniqueness Value: 20
Word: taxes, Uniqueness Value: 20
Word: soil, Uniqueness Value: 20
Word: point, Uniqueness Value: 20
Word: results, Uniqueness Value: 20
Word: discharge, Uniqueness Value: 20
Word: may, Uniqueness Value: 20
Word: development, Uniqueness Value: 20
Word: national, Uniqueness Value: 20
